ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
537,FCC,GCM-SP,Noções de Informática,Word e Excel,"Em Word e Excel, no Windows 10/11, para uso policial, o atalho correto é:",Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: backup deve ser feito apenas na nuvem pública.,B,Gabarito B. Word e Excel em Noções de Informática: conforme banca FCC para GCM-SP. Entendimento pacificado nos tribunais superiores.
538,VUNESP,GCM-SP,Noções de Informática,Windows,"Quanto a Windows no pacote Office, para relatório policial, assinale:",Windows: senha forte deve ter apenas letras minúsculas.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,Windows: phishing é técnica segura de proteção.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Windows em Noções de Informática: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
539,FCC,PC-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: phishing é técnica segura de proteção.,Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FCC para PC-SP. Padrão cobrado em provas de áreas policiais SP.
540,FGV,GCM-SP,Noções de Informática,Atalhos,"Quanto a Atalhos no pacote Office, para relatório policial, assinale:",Atalhos: phishing é técnica segura de proteção.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: backup deve ser feito apenas na nuvem pública.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
541,FGV,PM-SP,Noções de Informática,Backup,"Em Backup, para segurança da informação na PC-SP, é correto:",Backup: backup deve ser feito apenas na nuvem pública.,Backup: senha forte deve ter apenas letras minúsculas.,Backup: atalho ALT+F4 encerra sem salvar.,Backup: phishing é técnica segura de proteção.,Backup: atalho CTRL+S salva e CTRL+P imprime relatório.,A,Gabarito A. Backup em Noções de Informática: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
542,VUNESP,GCM-SP,Noções de Informática,Word e Excel,"Quanto a Word e Excel no pacote Office, para relatório policial, assinale:",Word e Excel: backup deve ser feito apenas na nuvem pública.,Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: atalho ALT+F4 encerra sem salvar.,A,Gabarito A. Word e Excel em Noções de Informática: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
543,VUNESP,PM-SP,Noções de Informática,Redes e internet,"Quanto a Redes e internet no pacote Office, para relatório policial, assinale:",Redes e internet: backup deve ser feito apenas na nuvem pública.,Redes e internet: atalho CTRL+S salva e CTRL+P imprime relatório.,Redes e internet: atalho ALT+F4 encerra sem salvar.,Redes e internet: senha forte deve ter apenas letras minúsculas.,Redes e internet: phishing é técnica segura de proteção.,C,Gabarito C. Redes e internet em Noções de Informática: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
544,FCC,PM-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: phishing é técnica segura de proteção.,A,Gabarito A. Atalhos em Noções de Informática: conforme banca FCC para PM-SP. Padrão cobrado em provas de áreas policiais SP.
545,VUNESP,PC-SP,Noções de Informática,Segurança da informação,"Sobre Segurança da informação em ambiente policial, assinale a alternativa correta:",Segurança da informação: backup deve ser feito apenas na nuvem pública.,Segurança da informação: atalho CTRL+S salva e CTRL+P imprime relatório.,Segurança da informação: senha forte deve ter apenas letras minúsculas.,Segurança da informação: atalho ALT+F4 encerra sem salvar.,Segurança da informação: phishing é técnica segura de proteção.,B,Gabarito B. Segurança da informação em Noções de Informática: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
546,FGV,PP-SP,Noções de Informática,Redes e internet,"Em Redes e internet, para segurança da informação na PC-SP, é correto:",Redes e internet: backup deve ser feito apenas na nuvem pública.,Redes e internet: phishing é técnica segura de proteção.,Redes e internet: atalho CTRL+S salva e CTRL+P imprime relatório.,Redes e internet: senha forte deve ter apenas letras minúsculas.,Redes e internet: atalho ALT+F4 encerra sem salvar.,C,Gabarito C. Redes e internet em Noções de Informática: conforme banca FGV para PP-SP. Doutrina majoritária e jurisprudência atual.
547,FCC,GCM-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: phishing é técnica segura de proteção.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: senha forte deve ter apenas letras minúsculas.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FCC para GCM-SP. Doutrina majoritária e jurisprudência atual.
548,FGV,PM-SP,Noções de Informática,Backup,"Quanto a Backup no pacote Office, para relatório policial, assinale:",Backup: atalho CTRL+S salva e CTRL+P imprime relatório.,Backup: senha forte deve ter apenas letras minúsculas.,Backup: backup deve ser feito apenas na nuvem pública.,Backup: atalho ALT+F4 encerra sem salvar.,Backup: phishing é técnica segura de proteção.,C,Gabarito C. Backup em Noções de Informática: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
549,VUNESP,PM-SP,Noções de Informática,Word e Excel,"Em Word e Excel, no Windows 10/11, para uso policial, o atalho correto é:",Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: backup deve ser feito apenas na nuvem pública.,C,Gabarito C. Word e Excel em Noções de Informática: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
550,VUNESP,PM-SP,Noções de Informática,Word e Excel,"Quanto a Word e Excel no pacote Office, para relatório policial, assinale:",Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: backup deve ser feito apenas na nuvem pública.,Word e Excel: senha forte deve ter apenas letras minúsculas.,C,Gabarito C. Word e Excel em Noções de Informática: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
551,FGV,PC-SP,Noções de Informática,Redes e internet,"Quanto a Redes e internet no pacote Office, para relatório policial, assinale:",Redes e internet: atalho ALT+F4 encerra sem salvar.,Redes e internet: atalho CTRL+S salva e CTRL+P imprime relatório.,Redes e internet: senha forte deve ter apenas letras minúsculas.,Redes e internet: backup deve ser feito apenas na nuvem pública.,Redes e internet: phishing é técnica segura de proteção.,A,Gabarito A. Redes e internet em Noções de Informática: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
552,FGV,PC-SP,Noções de Informática,Redes e internet,"Sobre Redes e internet em ambiente policial, assinale a alternativa correta:",Redes e internet: atalho ALT+F4 encerra sem salvar.,Redes e internet: atalho CTRL+S salva e CTRL+P imprime relatório.,Redes e internet: phishing é técnica segura de proteção.,Redes e internet: backup deve ser feito apenas na nuvem pública.,Redes e internet: senha forte deve ter apenas letras minúsculas.,A,Gabarito A. Redes e internet em Noções de Informática: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
553,FCC,PC-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: phishing é técnica segura de proteção.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FCC para PC-SP. Conforme manual e legislação específica.
554,FGV,GCM-SP,Noções de Informática,Word e Excel,"Em Word e Excel, no Windows 10/11, para uso policial, o atalho correto é:",Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: backup deve ser feito apenas na nuvem pública.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: senha forte deve ter apenas letras minúsculas.,B,Gabarito B. Word e Excel em Noções de Informática: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
555,FCC,PM-SP,Noções de Informática,Word e Excel,"Quanto a Word e Excel no pacote Office, para relatório policial, assinale:",Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: backup deve ser feito apenas na nuvem pública.,C,Gabarito C. Word e Excel em Noções de Informática: conforme banca FCC para PM-SP. Conforme manual e legislação específica.
556,FCC,PM-SP,Noções de Informática,Atalhos,"Quanto a Atalhos no pacote Office, para relatório policial, assinale:",Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: phishing é técnica segura de proteção.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FCC para PM-SP. Doutrina majoritária e jurisprudência atual.
557,FCC,PP-SP,Noções de Informática,Windows,"Em Windows, para segurança da informação na PC-SP, é correto:",Windows: atalho ALT+F4 encerra sem salvar.,Windows: senha forte deve ter apenas letras minúsculas.,Windows: phishing é técnica segura de proteção.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,C,Gabarito C. Windows em Noções de Informática: conforme banca FCC para PP-SP. Conforme manual e legislação específica.
558,VUNESP,GCM-SP,Noções de Informática,Windows,"Sobre Windows em ambiente policial, assinale a alternativa correta:",Windows: backup deve ser feito apenas na nuvem pública.,Windows: phishing é técnica segura de proteção.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,Windows: senha forte deve ter apenas letras minúsculas.,Windows: atalho ALT+F4 encerra sem salvar.,C,Gabarito C. Windows em Noções de Informática: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
559,FCC,PP-SP,Noções de Informática,Segurança da informação,"Em Segurança da informação, para segurança da informação na PC-SP, é correto:",Segurança da informação: senha forte deve ter apenas letras minúsculas.,Segurança da informação: phishing é técnica segura de proteção.,Segurança da informação: backup deve ser feito apenas na nuvem pública.,Segurança da informação: atalho CTRL+S salva e CTRL+P imprime relatório.,Segurança da informação: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Segurança da informação em Noções de Informática: conforme banca FCC para PP-SP. Entendimento pacificado nos tribunais superiores.
560,FGV,PP-SP,Noções de Informática,Windows,"Quanto a Windows no pacote Office, para relatório policial, assinale:",Windows: backup deve ser feito apenas na nuvem pública.,Windows: atalho ALT+F4 encerra sem salvar.,Windows: phishing é técnica segura de proteção.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,Windows: senha forte deve ter apenas letras minúsculas.,C,Gabarito C. Windows em Noções de Informática: conforme banca FGV para PP-SP. Padrão cobrado em provas de áreas policiais SP.
561,FCC,PP-SP,Noções de Informática,Atalhos,"Quanto a Atalhos no pacote Office, para relatório policial, assinale:",Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: phishing é técnica segura de proteção.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: backup deve ser feito apenas na nuvem pública.,C,Gabarito C. Atalhos em Noções de Informática: conforme banca FCC para PP-SP. Entendimento pacificado nos tribunais superiores.
562,FCC,PM-SP,Noções de Informática,Atalhos,"Em Atalhos, no Windows 10/11, para uso policial, o atalho correto é:",Atalhos: phishing é técnica segura de proteção.,Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FCC para PM-SP. Padrão cobrado em provas de áreas policiais SP.
563,FCC,GCM-SP,Noções de Informática,Windows,"Em Windows, para segurança da informação na PC-SP, é correto:",Windows: phishing é técnica segura de proteção.,Windows: atalho ALT+F4 encerra sem salvar.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: senha forte deve ter apenas letras minúsculas.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,C,Gabarito C. Windows em Noções de Informática: conforme banca FCC para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
564,FGV,PM-SP,Noções de Informática,Backup,"Quanto a Backup no pacote Office, para relatório policial, assinale:",Backup: atalho ALT+F4 encerra sem salvar.,Backup: backup deve ser feito apenas na nuvem pública.,Backup: atalho CTRL+S salva e CTRL+P imprime relatório.,Backup: phishing é técnica segura de proteção.,Backup: senha forte deve ter apenas letras minúsculas.,B,Gabarito B. Backup em Noções de Informática: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
565,FGV,PC-SP,Noções de Informática,Segurança da informação,"Quanto a Segurança da informação no pacote Office, para relatório policial, assinale:",Segurança da informação: backup deve ser feito apenas na nuvem pública.,Segurança da informação: phishing é técnica segura de proteção.,Segurança da informação: atalho ALT+F4 encerra sem salvar.,Segurança da informação: atalho CTRL+S salva e CTRL+P imprime relatório.,Segurança da informação: senha forte deve ter apenas letras minúsculas.,C,Gabarito C. Segurança da informação em Noções de Informática: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
566,FGV,GCM-SP,Noções de Informática,Backup,"Quanto a Backup no pacote Office, para relatório policial, assinale:",Backup: backup deve ser feito apenas na nuvem pública.,Backup: atalho CTRL+S salva e CTRL+P imprime relatório.,Backup: phishing é técnica segura de proteção.,Backup: atalho ALT+F4 encerra sem salvar.,Backup: senha forte deve ter apenas letras minúsculas.,A,Gabarito A. Backup em Noções de Informática: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
567,FCC,PC-SP,Noções de Informática,Windows,"Quanto a Windows no pacote Office, para relatório policial, assinale:",Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: atalho ALT+F4 encerra sem salvar.,Windows: phishing é técnica segura de proteção.,Windows: senha forte deve ter apenas letras minúsculas.,B,Gabarito B. Windows em Noções de Informática: conforme banca FCC para PC-SP. Entendimento pacificado nos tribunais superiores.
568,FCC,PP-SP,Noções de Informática,Word e Excel,"Quanto a Word e Excel no pacote Office, para relatório policial, assinale:",Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: backup deve ser feito apenas na nuvem pública.,B,Gabarito B. Word e Excel em Noções de Informática: conforme banca FCC para PP-SP. Padrão cobrado em provas de áreas policiais SP.
569,VUNESP,PC-SP,Noções de Informática,Windows,"Quanto a Windows no pacote Office, para relatório policial, assinale:",Windows: senha forte deve ter apenas letras minúsculas.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: phishing é técnica segura de proteção.,Windows: atalho ALT+F4 encerra sem salvar.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,C,Gabarito C. Windows em Noções de Informática: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
570,FGV,PM-SP,Noções de Informática,Segurança da informação,"Em Segurança da informação, no Windows 10/11, para uso policial, o atalho correto é:",Segurança da informação: backup deve ser feito apenas na nuvem pública.,Segurança da informação: atalho CTRL+S salva e CTRL+P imprime relatório.,Segurança da informação: senha forte deve ter apenas letras minúsculas.,Segurança da informação: phishing é técnica segura de proteção.,Segurança da informação: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Segurança da informação em Noções de Informática: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
571,FCC,GCM-SP,Noções de Informática,Atalhos,"Em Atalhos, no Windows 10/11, para uso policial, o atalho correto é:",Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: phishing é técnica segura de proteção.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,A,Gabarito A. Atalhos em Noções de Informática: conforme banca FCC para GCM-SP. Doutrina majoritária e jurisprudência atual.
572,VUNESP,GCM-SP,Noções de Informática,Word e Excel,"Em Word e Excel, para segurança da informação na PC-SP, é correto:",Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: backup deve ser feito apenas na nuvem pública.,C,Gabarito C. Word e Excel em Noções de Informática: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
573,FGV,GCM-SP,Noções de Informática,Backup,"Quanto a Backup no pacote Office, para relatório policial, assinale:",Backup: senha forte deve ter apenas letras minúsculas.,Backup: atalho ALT+F4 encerra sem salvar.,Backup: phishing é técnica segura de proteção.,Backup: atalho CTRL+S salva e CTRL+P imprime relatório.,Backup: backup deve ser feito apenas na nuvem pública.,A,Gabarito A. Backup em Noções de Informática: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
574,FCC,PC-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: phishing é técnica segura de proteção.,Atalhos: senha forte deve ter apenas letras minúsculas.,C,Gabarito C. Atalhos em Noções de Informática: conforme banca FCC para PC-SP. Entendimento pacificado nos tribunais superiores.
575,FGV,PP-SP,Noções de Informática,Windows,"Sobre Windows em ambiente policial, assinale a alternativa correta:",Windows: atalho ALT+F4 encerra sem salvar.,Windows: phishing é técnica segura de proteção.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: senha forte deve ter apenas letras minúsculas.,B,Gabarito B. Windows em Noções de Informática: conforme banca FGV para PP-SP. Entendimento pacificado nos tribunais superiores.
576,VUNESP,GCM-SP,Noções de Informática,Backup,"Quanto a Backup no pacote Office, para relatório policial, assinale:",Backup: phishing é técnica segura de proteção.,Backup: atalho ALT+F4 encerra sem salvar.,Backup: senha forte deve ter apenas letras minúsculas.,Backup: backup deve ser feito apenas na nuvem pública.,Backup: atalho CTRL+S salva e CTRL+P imprime relatório.,C,Gabarito C. Backup em Noções de Informática: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
577,FCC,GCM-SP,Noções de Informática,Word e Excel,"Sobre Word e Excel em ambiente policial, assinale a alternativa correta:",Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: backup deve ser feito apenas na nuvem pública.,Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,B,Gabarito B. Word e Excel em Noções de Informática: conforme banca FCC para GCM-SP. Conforme manual e legislação específica.
578,VUNESP,PP-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: phishing é técnica segura de proteção.,Atalhos: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca VUNESP para PP-SP. Padrão cobrado em provas de áreas policiais SP.
579,FCC,PM-SP,Noções de Informática,Windows,"Sobre Windows em ambiente policial, assinale a alternativa correta:",Windows: phishing é técnica segura de proteção.,Windows: senha forte deve ter apenas letras minúsculas.,Windows: atalho ALT+F4 encerra sem salvar.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,B,Gabarito B. Windows em Noções de Informática: conforme banca FCC para PM-SP. Entendimento pacificado nos tribunais superiores.
580,FCC,PC-SP,Noções de Informática,Windows,"Em Windows, para segurança da informação na PC-SP, é correto:",Windows: phishing é técnica segura de proteção.,Windows: atalho ALT+F4 encerra sem salvar.,Windows: senha forte deve ter apenas letras minúsculas.,Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,Windows: backup deve ser feito apenas na nuvem pública.,B,Gabarito B. Windows em Noções de Informática: conforme banca FCC para PC-SP. Entendimento pacificado nos tribunais superiores.
581,VUNESP,GCM-SP,Noções de Informática,Backup,"Sobre Backup em ambiente policial, assinale a alternativa correta:",Backup: atalho CTRL+S salva e CTRL+P imprime relatório.,Backup: backup deve ser feito apenas na nuvem pública.,Backup: senha forte deve ter apenas letras minúsculas.,Backup: phishing é técnica segura de proteção.,Backup: atalho ALT+F4 encerra sem salvar.,C,Gabarito C. Backup em Noções de Informática: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
582,VUNESP,PM-SP,Noções de Informática,Segurança da informação,"Em Segurança da informação, para segurança da informação na PC-SP, é correto:",Segurança da informação: atalho ALT+F4 encerra sem salvar.,Segurança da informação: backup deve ser feito apenas na nuvem pública.,Segurança da informação: phishing é técnica segura de proteção.,Segurança da informação: senha forte deve ter apenas letras minúsculas.,Segurança da informação: atalho CTRL+S salva e CTRL+P imprime relatório.,C,Gabarito C. Segurança da informação em Noções de Informática: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
583,FGV,GCM-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: phishing é técnica segura de proteção.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
584,FGV,PC-SP,Noções de Informática,Atalhos,"Sobre Atalhos em ambiente policial, assinale a alternativa correta:",Atalhos: atalho ALT+F4 encerra sem salvar.,Atalhos: senha forte deve ter apenas letras minúsculas.,Atalhos: phishing é técnica segura de proteção.,Atalhos: backup deve ser feito apenas na nuvem pública.,Atalhos: atalho CTRL+S salva e CTRL+P imprime relatório.,B,Gabarito B. Atalhos em Noções de Informática: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
585,VUNESP,PP-SP,Noções de Informática,Windows,"Quanto a Windows no pacote Office, para relatório policial, assinale:",Windows: atalho CTRL+S salva e CTRL+P imprime relatório.,Windows: senha forte deve ter apenas letras minúsculas.,Windows: phishing é técnica segura de proteção.,Windows: backup deve ser feito apenas na nuvem pública.,Windows: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Windows em Noções de Informática: conforme banca VUNESP para PP-SP. Entendimento pacificado nos tribunais superiores.
586,FCC,PC-SP,Noções de Informática,Word e Excel,"Quanto a Word e Excel no pacote Office, para relatório policial, assinale:",Word e Excel: phishing é técnica segura de proteção.,Word e Excel: backup deve ser feito apenas na nuvem pública.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: senha forte deve ter apenas letras minúsculas.,B,Gabarito B. Word e Excel em Noções de Informática: conforme banca FCC para PC-SP. Conforme manual e legislação específica.
587,FCC,PP-SP,Noções de Informática,Segurança da informação,"Quanto a Segurança da informação no pacote Office, para relatório policial, assinale:",Segurança da informação: phishing é técnica segura de proteção.,Segurança da informação: backup deve ser feito apenas na nuvem pública.,Segurança da informação: atalho CTRL+S salva e CTRL+P imprime relatório.,Segurança da informação: senha forte deve ter apenas letras minúsculas.,Segurança da informação: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Segurança da informação em Noções de Informática: conforme banca FCC para PP-SP. Conforme manual e legislação específica.
588,FCC,GCM-SP,Noções de Informática,Word e Excel,"Em Word e Excel, para segurança da informação na PC-SP, é correto:",Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: backup deve ser feito apenas na nuvem pública.,C,Gabarito C. Word e Excel em Noções de Informática: conforme banca FCC para GCM-SP. Doutrina majoritária e jurisprudência atual.
589,FGV,PP-SP,Noções de Informática,Segurança da informação,"Sobre Segurança da informação em ambiente policial, assinale a alternativa correta:",Segurança da informação: atalho ALT+F4 encerra sem salvar.,Segurança da informação: atalho CTRL+S salva e CTRL+P imprime relatório.,Segurança da informação: backup deve ser feito apenas na nuvem pública.,Segurança da informação: senha forte deve ter apenas letras minúsculas.,Segurança da informação: phishing é técnica segura de proteção.,A,Gabarito A. Segurança da informação em Noções de Informática: conforme banca FGV para PP-SP. Doutrina majoritária e jurisprudência atual.
590,FCC,PC-SP,Noções de Informática,Redes e internet,"Em Redes e internet, para segurança da informação na PC-SP, é correto:",Redes e internet: backup deve ser feito apenas na nuvem pública.,Redes e internet: phishing é técnica segura de proteção.,Redes e internet: atalho ALT+F4 encerra sem salvar.,Redes e internet: atalho CTRL+S salva e CTRL+P imprime relatório.,Redes e internet: senha forte deve ter apenas letras minúsculas.,C,Gabarito C. Redes e internet em Noções de Informática: conforme banca FCC para PC-SP. Conforme manual e legislação específica.
591,FCC,PM-SP,Noções de Informática,Word e Excel,"Sobre Word e Excel em ambiente policial, assinale a alternativa correta:",Word e Excel: phishing é técnica segura de proteção.,Word e Excel: atalho ALT+F4 encerra sem salvar.,Word e Excel: atalho CTRL+S salva e CTRL+P imprime relatório.,Word e Excel: senha forte deve ter apenas letras minúsculas.,Word e Excel: backup deve ser feito apenas na nuvem pública.,C,Gabarito C. Word e Excel em Noções de Informática: conforme banca FCC para PM-SP. Conforme manual e legislação específica.
592,FCC,GCM-SP,Noções de Informática,Redes e internet,"Sobre Redes e internet em ambiente policial, assinale a alternativa correta:",Redes e internet: backup deve ser feito apenas na nuvem pública.,Redes e internet: senha forte deve ter apenas letras minúsculas.,Redes e internet: phishing é técnica segura de proteção.,Redes e internet: atalho CTRL+S salva e CTRL+P imprime relatório.,Redes e internet: atalho ALT+F4 encerra sem salvar.,B,Gabarito B. Redes e internet em Noções de Informática: conforme banca FCC para GCM-SP. Conforme manual e legislação específica.
